"libelle_site";"longitude_station";"latitude_station"
"L'Huisne à Nogent-le-Rotrou [Pont de bois]";"0.813870132189413";"48.31849940327668"
"L'Ozanne à Trizay-lès-Bonneval [Prémoteux]";"1.3475624862182005";"48.20904358283043"
"Le Loir à Saint-Maur-sur-le-Loir";"1.4177764976817826";"48.15165900834293"
"La Conie à Conie-Molitard";"1.4521486691222942";"48.121073819120824"
"La Conie à Conie-Molitard";"1.420821209870448";"48.10694205845483"
"L'Yerre à Saint-Hilaire-sur-Yerre [Bêchereau]";"1.257723329884089";"48.030890833447124"
"L'Aigre à Romilly-sur-Aigre";"1.3047883219367469";"47.985528284873546"
"L'Aigre à Romilly-sur-Aigre";"1.3047042794008075";"47.98561122543462"
"Le Loir à Villavard";"0.8902875890995685";"47.759049006995795"
"La Braye à Sargé-sur-Braye";"0.8413135741876651";"47.911402572171575"
